stem,prompt,language,generator,seed,overall
028-range-sum__tyra+spec__claude__s3,028-range-sum,tyra+spec,claude,3,pass
029-count-word__tyra+spec__claude__s1,029-count-word,tyra+spec,claude,1,pass
029-count-word__tyra+spec__claude__s2,029-count-word,tyra+spec,claude,2,pass
029-count-word__tyra+spec__claude__s3,029-count-word,tyra+spec,claude,3,pass
030-command-dispatch__tyra+spec__claude__s1,030-command-dispatch,tyra+spec,claude,1,pass
030-command-dispatch__tyra+spec__claude__s2,030-command-dispatch,tyra+spec,claude,2,pass
030-command-dispatch__tyra+spec__claude__s3,030-command-dispatch,tyra+spec,claude,3,pass
031-nested-option__tyra+spec__claude__s1,031-nested-option,tyra+spec,claude,1,pass
031-nested-option__tyra+spec__claude__s2,031-nested-option,tyra+spec,claude,2,pass
031-nested-option__tyra+spec__claude__s3,031-nested-option,tyra+spec,claude,3,pass
032-divide-safe__tyra+spec__claude__s1,032-divide-safe,tyra+spec,claude,1,pass
032-divide-safe__tyra+spec__claude__s2,032-divide-safe,tyra+spec,claude,2,pass
032-divide-safe__tyra+spec__claude__s3,032-divide-safe,tyra+spec,claude,3,pass
033-fib-iterative__tyra+spec__claude__s1,033-fib-iterative,tyra+spec,claude,1,pass
033-fib-iterative__tyra+spec__claude__s2,033-fib-iterative,tyra+spec,claude,2,compile_fail
033-fib-iterative__tyra+spec__claude__s3,033-fib-iterative,tyra+spec,claude,3,compile_fail
034-group-even-odd__tyra+spec__claude__s1,034-group-even-odd,tyra+spec,claude,1,compile_fail
034-group-even-odd__tyra+spec__claude__s2,034-group-even-odd,tyra+spec,claude,2,compile_fail
034-group-even-odd__tyra+spec__claude__s3,034-group-even-odd,tyra+spec,claude,3,compile_fail
035-string-length__tyra+spec__claude__s1,035-string-length,tyra+spec,claude,1,compile_fail
035-string-length__tyra+spec__claude__s2,035-string-length,tyra+spec,claude,2,pass
035-string-length__tyra+spec__claude__s3,035-string-length,tyra+spec,claude,3,pass
036-validate-age__tyra+spec__claude__s1,036-validate-age,tyra+spec,claude,1,pass
036-validate-age__tyra+spec__claude__s2,036-validate-age,tyra+spec,claude,2,pass
036-validate-age__tyra+spec__claude__s3,036-validate-age,tyra+spec,claude,3,pass
037-tree-depth__tyra+spec__claude__s1,037-tree-depth,tyra+spec,claude,1,pass
037-tree-depth__tyra+spec__claude__s2,037-tree-depth,tyra+spec,claude,2,pass
037-tree-depth__tyra+spec__claude__s3,037-tree-depth,tyra+spec,claude,3,pass
038-capitalize-words__tyra+spec__claude__s1,038-capitalize-words,tyra+spec,claude,1,pass
038-capitalize-words__tyra+spec__claude__s2,038-capitalize-words,tyra+spec,claude,2,pass
038-capitalize-words__tyra+spec__claude__s3,038-capitalize-words,tyra+spec,claude,3,pass
039-sum-digits__tyra+spec__claude__s1,039-sum-digits,tyra+spec,claude,1,pass
039-sum-digits__tyra+spec__claude__s2,039-sum-digits,tyra+spec,claude,2,pass
039-sum-digits__tyra+spec__claude__s3,039-sum-digits,tyra+spec,claude,3,pass
040-person-record__tyra+spec__claude__s1,040-person-record,tyra+spec,claude,1,pass
040-person-record__tyra+spec__claude__s2,040-person-record,tyra+spec,claude,2,pass
040-person-record__tyra+spec__claude__s3,040-person-record,tyra+spec,claude,3,pass
041-sum-pairs__tyra+spec__claude__s1,041-sum-pairs,tyra+spec,claude,1,pass
041-sum-pairs__tyra+spec__claude__s2,041-sum-pairs,tyra+spec,claude,2,pass
041-sum-pairs__tyra+spec__claude__s3,041-sum-pairs,tyra+spec,claude,3,pass
042-contains-substring__tyra+spec__claude__s1,042-contains-substring,tyra+spec,claude,1,compile_fail
042-contains-substring__tyra+spec__claude__s2,042-contains-substring,tyra+spec,claude,2,pass
042-contains-substring__tyra+spec__claude__s3,042-contains-substring,tyra+spec,claude,3,pass
043-starts-with__tyra+spec__claude__s1,043-starts-with,tyra+spec,claude,1,compile_fail
043-starts-with__tyra+spec__claude__s2,043-starts-with,tyra+spec,claude,2,compile_fail
043-starts-with__tyra+spec__claude__s3,043-starts-with,tyra+spec,claude,3,pass
044-key-value-parse__tyra+spec__claude__s1,044-key-value-parse,tyra+spec,claude,1,pass
044-key-value-parse__tyra+spec__claude__s2,044-key-value-parse,tyra+spec,claude,2,pass
044-key-value-parse__tyra+spec__claude__s3,044-key-value-parse,tyra+spec,claude,3,pass
045-minmax-both__tyra+spec__claude__s1,045-minmax-both,tyra+spec,claude,1,pass
045-minmax-both__tyra+spec__claude__s2,045-minmax-both,tyra+spec,claude,2,compile_fail
045-minmax-both__tyra+spec__claude__s3,045-minmax-both,tyra+spec,claude,3,pass
046-count-true__tyra+spec__claude__s1,046-count-true,tyra+spec,claude,1,pass
046-count-true__tyra+spec__claude__s2,046-count-true,tyra+spec,claude,2,pass
046-count-true__tyra+spec__claude__s3,046-count-true,tyra+spec,claude,3,pass
047-clamp__tyra+spec__claude__s1,047-clamp,tyra+spec,claude,1,pass
047-clamp__tyra+spec__claude__s2,047-clamp,tyra+spec,claude,2,pass
047-clamp__tyra+spec__claude__s3,047-clamp,tyra+spec,claude,3,pass
048-join-strings__tyra+spec__claude__s1,048-join-strings,tyra+spec,claude,1,pass
048-join-strings__tyra+spec__claude__s2,048-join-strings,tyra+spec,claude,2,pass
048-join-strings__tyra+spec__claude__s3,048-join-strings,tyra+spec,claude,3,pass
049-count-chars__tyra+spec__claude__s1,049-count-chars,tyra+spec,claude,1,pass
049-count-chars__tyra+spec__claude__s2,049-count-chars,tyra+spec,claude,2,pass
049-count-chars__tyra+spec__claude__s3,049-count-chars,tyra+spec,claude,3,pass
050-bank-account__tyra+spec__claude__s1,050-bank-account,tyra+spec,claude,1,check_fail
050-bank-account__tyra+spec__claude__s2,050-bank-account,tyra+spec,claude,2,pass
050-bank-account__tyra+spec__claude__s3,050-bank-account,tyra+spec,claude,3,pass
051-list-reverse__tyra+spec__claude__s1,051-list-reverse,tyra+spec,claude,1,pass
051-list-reverse__tyra+spec__claude__s2,051-list-reverse,tyra+spec,claude,2,pass
051-list-reverse__tyra+spec__claude__s3,051-list-reverse,tyra+spec,claude,3,pass
052-three-grade__tyra+spec__claude__s1,052-three-grade,tyra+spec,claude,1,pass
052-three-grade__tyra+spec__claude__s2,052-three-grade,tyra+spec,claude,2,pass
052-three-grade__tyra+spec__claude__s3,052-three-grade,tyra+spec,claude,3,pass
053-toggle-case__tyra+spec__claude__s1,053-toggle-case,tyra+spec,claude,1,pass
053-toggle-case__tyra+spec__claude__s2,053-toggle-case,tyra+spec,claude,2,pass
053-toggle-case__tyra+spec__claude__s3,053-toggle-case,tyra+spec,claude,3,pass
054-line-numbers__tyra+spec__claude__s1,054-line-numbers,tyra+spec,claude,1,pass
054-line-numbers__tyra+spec__claude__s2,054-line-numbers,tyra+spec,claude,2,pass
054-line-numbers__tyra+spec__claude__s3,054-line-numbers,tyra+spec,claude,3,pass
055-two-sum__tyra+spec__claude__s1,055-two-sum,tyra+spec,claude,1,pass
055-two-sum__tyra+spec__claude__s2,055-two-sum,tyra+spec,claude,2,pass
055-two-sum__tyra+spec__claude__s3,055-two-sum,tyra+spec,claude,3,pass
056-cumulative-sum__tyra+spec__claude__s1,056-cumulative-sum,tyra+spec,claude,1,pass
056-cumulative-sum__tyra+spec__claude__s2,056-cumulative-sum,tyra+spec,claude,2,compile_fail
056-cumulative-sum__tyra+spec__claude__s3,056-cumulative-sum,tyra+spec,claude,3,pass
057-uniq-adjacent__tyra+spec__claude__s1,057-uniq-adjacent,tyra+spec,claude,1,pass
057-uniq-adjacent__tyra+spec__claude__s2,057-uniq-adjacent,tyra+spec,claude,2,compile_fail
057-uniq-adjacent__tyra+spec__claude__s3,057-uniq-adjacent,tyra+spec,claude,3,pass
058-traffic-transition__tyra+spec__claude__s1,058-traffic-transition,tyra+spec,claude,1,compile_fail
058-traffic-transition__tyra+spec__claude__s2,058-traffic-transition,tyra+spec,claude,2,pass
058-traffic-transition__tyra+spec__claude__s3,058-traffic-transition,tyra+spec,claude,3,pass
059-is-sorted__tyra+spec__claude__s1,059-is-sorted,tyra+spec,claude,1,pass
059-is-sorted__tyra+spec__claude__s2,059-is-sorted,tyra+spec,claude,2,pass
059-is-sorted__tyra+spec__claude__s3,059-is-sorted,tyra+spec,claude,3,pass
060-shopping-total__tyra+spec__claude__s1,060-shopping-total,tyra+spec,claude,1,pass
060-shopping-total__tyra+spec__claude__s2,060-shopping-total,tyra+spec,claude,2,pass
060-shopping-total__tyra+spec__claude__s3,060-shopping-total,tyra+spec,claude,3,pass
061-power__tyra+spec__claude__s1,061-power,tyra+spec,claude,1,pass
061-power__tyra+spec__claude__s2,061-power,tyra+spec,claude,2,pass
061-power__tyra+spec__claude__s3,061-power,tyra+spec,claude,3,pass
062-sum-two-squares__tyra+spec__claude__s1,062-sum-two-squares,tyra+spec,claude,1,compile_fail
062-sum-two-squares__tyra+spec__claude__s2,062-sum-two-squares,tyra+spec,claude,2,pass
062-sum-two-squares__tyra+spec__claude__s3,062-sum-two-squares,tyra+spec,claude,3,pass
063-list-sum-until__tyra+spec__claude__s1,063-list-sum-until,tyra+spec,claude,1,pass
063-list-sum-until__tyra+spec__claude__s2,063-list-sum-until,tyra+spec,claude,2,pass
063-list-sum-until__tyra+spec__claude__s3,063-list-sum-until,tyra+spec,claude,3,pass
064-count-down__tyra+spec__claude__s1,064-count-down,tyra+spec,claude,1,pass
064-count-down__tyra+spec__claude__s2,064-count-down,tyra+spec,claude,2,pass
064-count-down__tyra+spec__claude__s3,064-count-down,tyra+spec,claude,3,pass
065-list-product__tyra+spec__claude__s1,065-list-product,tyra+spec,claude,1,pass
065-list-product__tyra+spec__claude__s2,065-list-product,tyra+spec,claude,2,pass
065-list-product__tyra+spec__claude__s3,065-list-product,tyra+spec,claude,3,pass
066-square-list__tyra+spec__claude__s1,066-square-list,tyra+spec,claude,1,pass
066-square-list__tyra+spec__claude__s2,066-square-list,tyra+spec,claude,2,pass
066-square-list__tyra+spec__claude__s3,066-square-list,tyra+spec,claude,3,pass
067-filter-greater__tyra+spec__claude__s1,067-filter-greater,tyra+spec,claude,1,pass
067-filter-greater__tyra+spec__claude__s2,067-filter-greater,tyra+spec,claude,2,pass
067-filter-greater__tyra+spec__claude__s3,067-filter-greater,tyra+spec,claude,3,pass
068-double-each__tyra+spec__claude__s1,068-double-each,tyra+spec,claude,1,pass
068-double-each__tyra+spec__claude__s2,068-double-each,tyra+spec,claude,2,pass
068-double-each__tyra+spec__claude__s3,068-double-each,tyra+spec,claude,3,pass
069-max-positive__tyra+spec__claude__s1,069-max-positive,tyra+spec,claude,1,pass
069-max-positive__tyra+spec__claude__s2,069-max-positive,tyra+spec,claude,2,pass
069-max-positive__tyra+spec__claude__s3,069-max-positive,tyra+spec,claude,3,pass
070-roman__tyra+spec__claude__s1,070-roman,tyra+spec,claude,1,pass
070-roman__tyra+spec__claude__s2,070-roman,tyra+spec,claude,2,pass
070-roman__tyra+spec__claude__s3,070-roman,tyra+spec,claude,3,pass
071-sum-positive-diff-negative__tyra+spec__claude__s1,071-sum-positive-diff-negative,tyra+spec,claude,1,pass
071-sum-positive-diff-negative__tyra+spec__claude__s2,071-sum-positive-diff-negative,tyra+spec,claude,2,pass
071-sum-positive-diff-negative__tyra+spec__claude__s3,071-sum-positive-diff-negative,tyra+spec,claude,3,pass
072-min-abs__tyra+spec__claude__s1,072-min-abs,tyra+spec,claude,1,pass
072-min-abs__tyra+spec__claude__s2,072-min-abs,tyra+spec,claude,2,pass
072-min-abs__tyra+spec__claude__s3,072-min-abs,tyra+spec,claude,3,pass
073-select-even-index__tyra+spec__claude__s1,073-select-even-index,tyra+spec,claude,1,pass
073-select-even-index__tyra+spec__claude__s2,073-select-even-index,tyra+spec,claude,2,pass
073-select-even-index__tyra+spec__claude__s3,073-select-even-index,tyra+spec,claude,3,pass
074-string-chars__tyra+spec__claude__s1,074-string-chars,tyra+spec,claude,1,pass
074-string-chars__tyra+spec__claude__s2,074-string-chars,tyra+spec,claude,2,pass
074-string-chars__tyra+spec__claude__s3,074-string-chars,tyra+spec,claude,3,pass
075-order-status__tyra+spec__claude__s1,075-order-status,tyra+spec,claude,1,pass
075-order-status__tyra+spec__claude__s2,075-order-status,tyra+spec,claude,2,pass
075-order-status__tyra+spec__claude__s3,075-order-status,tyra+spec,claude,3,pass
076-running-max__tyra+spec__claude__s1,076-running-max,tyra+spec,claude,1,pass
076-running-max__tyra+spec__claude__s2,076-running-max,tyra+spec,claude,2,pass
076-running-max__tyra+spec__claude__s3,076-running-max,tyra+spec,claude,3,pass
077-words-by-length__tyra+spec__claude__s1,077-words-by-length,tyra+spec,claude,1,pass
077-words-by-length__tyra+spec__claude__s2,077-words-by-length,tyra+spec,claude,2,pass
077-words-by-length__tyra+spec__claude__s3,077-words-by-length,tyra+spec,claude,3,pass
078-nested-sum__tyra+spec__claude__s1,078-nested-sum,tyra+spec,claude,1,pass
078-nested-sum__tyra+spec__claude__s2,078-nested-sum,tyra+spec,claude,2,pass
078-nested-sum__tyra+spec__claude__s3,078-nested-sum,tyra+spec,claude,3,pass
079-point-distance__tyra+spec__claude__s1,079-point-distance,tyra+spec,claude,1,pass
079-point-distance__tyra+spec__claude__s2,079-point-distance,tyra+spec,claude,2,pass
079-point-distance__tyra+spec__claude__s3,079-point-distance,tyra+spec,claude,3,pass
080-collect-errors__tyra+spec__claude__s1,080-collect-errors,tyra+spec,claude,1,pass
080-collect-errors__tyra+spec__claude__s2,080-collect-errors,tyra+spec,claude,2,pass
080-collect-errors__tyra+spec__claude__s3,080-collect-errors,tyra+spec,claude,3,pass
081-binary-search__tyra+spec__claude__s1,081-binary-search,tyra+spec,claude,1,pass
081-binary-search__tyra+spec__claude__s2,081-binary-search,tyra+spec,claude,2,pass
081-binary-search__tyra+spec__claude__s3,081-binary-search,tyra+spec,claude,3,pass
082-insertion-sort__tyra+spec__claude__s1,082-insertion-sort,tyra+spec,claude,1,pass
082-insertion-sort__tyra+spec__claude__s2,082-insertion-sort,tyra+spec,claude,2,pass
082-insertion-sort__tyra+spec__claude__s3,082-insertion-sort,tyra+spec,claude,3,pass
083-word-frequency__tyra+spec__claude__s1,083-word-frequency,tyra+spec,claude,1,compile_fail
083-word-frequency__tyra+spec__claude__s2,083-word-frequency,tyra+spec,claude,2,pass
083-word-frequency__tyra+spec__claude__s3,083-word-frequency,tyra+spec,claude,3,compile_fail
084-range-stride__tyra+spec__claude__s1,084-range-stride,tyra+spec,claude,1,compile_fail
084-range-stride__tyra+spec__claude__s2,084-range-stride,tyra+spec,claude,2,pass
084-range-stride__tyra+spec__claude__s3,084-range-stride,tyra+spec,claude,3,pass
085-rot13__tyra+spec__claude__s1,085-rot13,tyra+spec,claude,1,pass
085-rot13__tyra+spec__claude__s2,085-rot13,tyra+spec,claude,2,pass
085-rot13__tyra+spec__claude__s3,085-rot13,tyra+spec,claude,3,pass
086-set-intersect__tyra+spec__claude__s1,086-set-intersect,tyra+spec,claude,1,pass
086-set-intersect__tyra+spec__claude__s2,086-set-intersect,tyra+spec,claude,2,pass
086-set-intersect__tyra+spec__claude__s3,086-set-intersect,tyra+spec,claude,3,pass
087-set-union__tyra+spec__claude__s1,087-set-union,tyra+spec,claude,1,pass
087-set-union__tyra+spec__claude__s2,087-set-union,tyra+spec,claude,2,pass
087-set-union__tyra+spec__claude__s3,087-set-union,tyra+spec,claude,3,pass
088-histogram__tyra+spec__claude__s1,088-histogram,tyra+spec,claude,1,pass
088-histogram__tyra+spec__claude__s2,088-histogram,tyra+spec,claude,2,pass
088-histogram__tyra+spec__claude__s3,088-histogram,tyra+spec,claude,3,pass
089-unique-words__tyra+spec__claude__s1,089-unique-words,tyra+spec,claude,1,pass
089-unique-words__tyra+spec__claude__s2,089-unique-words,tyra+spec,claude,2,pass
089-unique-words__tyra+spec__claude__s3,089-unique-words,tyra+spec,claude,3,check_fail
090-balanced-parens__tyra+spec__claude__s1,090-balanced-parens,tyra+spec,claude,1,pass
090-balanced-parens__tyra+spec__claude__s2,090-balanced-parens,tyra+spec,claude,2,pass
090-balanced-parens__tyra+spec__claude__s3,090-balanced-parens,tyra+spec,claude,3,pass
091-top-k__tyra+spec__claude__s1,091-top-k,tyra+spec,claude,1,pass
091-top-k__tyra+spec__claude__s2,091-top-k,tyra+spec,claude,2,pass
091-top-k__tyra+spec__claude__s3,091-top-k,tyra+spec,claude,3,pass
092-matrix-sum__tyra+spec__claude__s1,092-matrix-sum,tyra+spec,claude,1,pass
092-matrix-sum__tyra+spec__claude__s2,092-matrix-sum,tyra+spec,claude,2,pass
092-matrix-sum__tyra+spec__claude__s3,092-matrix-sum,tyra+spec,claude,3,pass
093-option-map__tyra+spec__claude__s1,093-option-map,tyra+spec,claude,1,pass
093-option-map__tyra+spec__claude__s2,093-option-map,tyra+spec,claude,2,pass
093-option-map__tyra+spec__claude__s3,093-option-map,tyra+spec,claude,3,pass
094-last-line__tyra+spec__claude__s1,094-last-line,tyra+spec,claude,1,pass
094-last-line__tyra+spec__claude__s2,094-last-line,tyra+spec,claude,2,exec_fail
094-last-line__tyra+spec__claude__s3,094-last-line,tyra+spec,claude,3,pass
095-flatmap-tokens__tyra+spec__claude__s1,095-flatmap-tokens,tyra+spec,claude,1,pass
095-flatmap-tokens__tyra+spec__claude__s2,095-flatmap-tokens,tyra+spec,claude,2,pass
095-flatmap-tokens__tyra+spec__claude__s3,095-flatmap-tokens,tyra+spec,claude,3,pass
096-rate-limit__tyra+spec__claude__s1,096-rate-limit,tyra+spec,claude,1,compile_fail
096-rate-limit__tyra+spec__claude__s2,096-rate-limit,tyra+spec,claude,2,compile_fail
096-rate-limit__tyra+spec__claude__s3,096-rate-limit,tyra+spec,claude,3,compile_fail
097-sum-skip-negative__tyra+spec__claude__s1,097-sum-skip-negative,tyra+spec,claude,1,pass
097-sum-skip-negative__tyra+spec__claude__s2,097-sum-skip-negative,tyra+spec,claude,2,pass
097-sum-skip-negative__tyra+spec__claude__s3,097-sum-skip-negative,tyra+spec,claude,3,pass
098-tag-length__tyra+spec__claude__s1,098-tag-length,tyra+spec,claude,1,pass
098-tag-length__tyra+spec__claude__s2,098-tag-length,tyra+spec,claude,2,pass
098-tag-length__tyra+spec__claude__s3,098-tag-length,tyra+spec,claude,3,pass
099-sum-column__tyra+spec__claude__s1,099-sum-column,tyra+spec,claude,1,pass
099-sum-column__tyra+spec__claude__s2,099-sum-column,tyra+spec,claude,2,pass
099-sum-column__tyra+spec__claude__s3,099-sum-column,tyra+spec,claude,3,pass
100-pipeline__tyra+spec__claude__s1,100-pipeline,tyra+spec,claude,1,pass
100-pipeline__tyra+spec__claude__s2,100-pipeline,tyra+spec,claude,2,pass
100-pipeline__tyra+spec__claude__s3,100-pipeline,tyra+spec,claude,3,pass
